Id no.,Type,Sentence,Bag_of_Words
146,Legally Risky,The department shall not be responsible for any loss or damage arising during the process.,"{'the': 2, 'department': 1, 'shall': 1, 'not': 1, 'be': 1, 'responsible': 1, 'for': 1, 'any': 1, 'loss': 1, 'or': 1, 'damage': 1, 'arising': 1, 'during': 1, 'process': 1}"
147,Legally Risky,Applicants failing to meet the deadline will be subject to action as deemed fit by the authority.,"{'applicants': 1, 'failing': 1, 'to': 2, 'meet': 1, 'the': 2, 'deadline': 1, 'will': 1, 'be': 1, 'subject': 1, 'action': 1, 'as': 1, 'deemed': 1, 'fit': 1, 'by': 1, 'authority': 1}"
148,Legally Risky,The institution reserves the right to withdraw this offer without prior notice.,"{'the': 2, 'institution': 1, 'reserves': 1, 'right': 1, 'to': 1, 'withdraw': 1, 'this': 1, 'offer': 1, 'without': 1, 'prior': 1, 'notice': 1}"
149,Legally Risky,Violation of hostel rules will result in immediate expulsion from the premises.,"{'violation': 1, 'of': 1, 'hostel': 1, 'rules': 1, 'will': 1, 'result': 1, 'in': 1, 'immediate': 1, 'expulsion': 1, 'from': 1, 'the': 1, 'premises': 1}"
150,Legally Risky,"Management shall not be liable for any injury, loss, or accident occurring within the campus.","{'management': 1, 'shall': 1, 'not': 1, 'be': 1, 'liable': 1, 'for': 1, 'any': 1, 'injury': 1, 'loss': 1, 'or': 1, 'accident': 1, 'occurring': 1, 'within': 1, 'the': 1, 'campus': 1}"
151,Legally Risky,The authority may impose penalties as it considers appropriate.,"{'the': 1, 'authority': 1, 'may': 1, 'impose': 1, 'penalties': 1, 'as': 1, 'it': 1, 'considers': 1, 'appropriate': 1}"
152,Legally Risky,Failure to adhere to the instructions will invite strict disciplinary measures.,"{'failure': 1, 'to': 2, 'adhere': 1, 'the': 1, 'instructions': 1, 'will': 1, 'invite': 1, 'strict': 1, 'disciplinary': 1, 'measures': 1}"
153,Legally Risky,The decision of the management shall be final and binding in all matters.,"{'the': 2, 'decision': 1, 'of': 1, 'management': 1, 'shall': 1, 'be': 1, 'final': 1, 'and': 1, 'binding': 1, 'in': 1, 'all': 1, 'matters': 1}"
154,Legally Risky,Employees may be terminated without notice in case of non-compliance.,"{'employees': 1, 'may': 1, 'be': 1, 'terminated': 1, 'without': 1, 'notice': 1, 'in': 1, 'case': 1, 'of': 1, 'non': 1, 'compliance': 1}"
155,Legally Risky,The company reserves the right to modify the terms at any time at its sole discretion.,"{'the': 3, 'company': 1, 'reserves': 1, 'right': 1, 'to': 1, 'modify': 1, 'terms': 1, 'at': 2, 'any': 1, 'time': 1, 'its': 1, 'sole': 1, 'discretion': 1}"
156,Legally Risky,Any false information furnished shall make the applicant liable for legal action.,"{'any': 1, 'false': 1, 'information': 1, 'furnished': 1, 'shall': 1, 'make': 1, 'the': 1, 'applicant': 1, 'liable': 1, 'for': 1, 'legal': 1, 'action': 1}"
157,Legally Risky,The organization shall not entertain any claims whatsoever arising from this arrangement.,"{'the': 1, 'organization': 1, 'shall': 1, 'not': 1, 'entertain': 1, 'any': 1, 'claims': 1, 'whatsoever': 1, 'arising': 1, 'from': 1, 'this': 1, 'arrangement': 1}"
158,Legally Risky,Non-response shall be treated as acceptance of all terms and conditions.,"{'non': 1, 'response': 1, 'shall': 1, 'be': 1, 'treated': 1, 'as': 1, 'acceptance': 1, 'of': 1, 'all': 1, 'terms': 1, 'and': 1, 'conditions': 1}"
159,Legally Risky,The applicant agrees to indemnify the institution against all losses and claims.,"{'the': 2, 'applicant': 1, 'agrees': 1, 'to': 1, 'indemnify': 1, 'institution': 1, 'against': 1, 'all': 1, 'losses': 1, 'and': 1, 'claims': 1}"
160,Legally Risky,Breach of this clause shall lead to immediate cancellation of services.,"{'breach': 1, 'of': 2, 'this': 1, 'clause': 1, 'shall': 1, 'lead': 1, 'to': 1, 'immediate': 1, 'cancellation': 1, 'services': 1}"
161,Legally Risky,Participation is subject to withdrawal at any stage by the authority.,"{'participation': 1, 'is': 1, 'subject': 1, 'to': 1, 'withdrawal': 1, 'at': 1, 'any': 1, 'stage': 1, 'by': 1, 'the': 1, 'authority': 1}"
162,Legally Risky,The authority shall not be accountable for delays or failures under any circumstances.,"{'the': 1, 'authority': 1, 'shall': 1, 'not': 1, 'be': 1, 'accountable': 1, 'for': 1, 'delays': 1, 'or': 1, 'failures': 1, 'under': 1, 'any': 1, 'circumstances': 1}"
163,Legally Risky,The undersigned agrees to bear full responsibility for any consequences arising thereof.,"{'the': 1, 'undersigned': 1, 'agrees': 1, 'to': 1, 'bear': 1, 'full': 1, 'responsibility': 1, 'for': 1, 'any': 1, 'consequences': 1, 'arising': 1, 'thereof': 1}"
164,Legally Risky,Any dispute shall be resolved solely at the discretion of the management.,"{'any': 1, 'dispute': 1, 'shall': 1, 'be': 1, 'resolved': 1, 'solely': 1, 'at': 1, 'the': 2, 'discretion': 1, 'of': 1, 'management': 1}"
165,Legally Risky,The institution may initiate proceedings without further notice.,"{'the': 1, 'institution': 1, 'may': 1, 'initiate': 1, 'proceedings': 1, 'without': 1, 'further': 1, 'notice': 1}"
166,Legally Risky,Failure to submit documents may result in cancellation of admission.,"{'failure': 1, 'to': 1, 'submit': 1, 'documents': 1, 'may': 1, 'result': 1, 'in': 1, 'cancellation': 1, 'of': 1, 'admission': 1}"
167,Legally Risky,The company disclaims all warranties and liabilities related to this service.,"{'the': 1, 'company': 1, 'disclaims': 1, 'all': 1, 'warranties': 1, 'and': 1, 'liabilities': 1, 'related': 1, 'to': 1, 'this': 1, 'service': 1}"
168,Legally Risky,The applicant shall forfeit all rights upon violation of the above terms.,"{'the': 2, 'applicant': 1, 'shall': 1, 'forfeit': 1, 'all': 1, 'rights': 1, 'upon': 1, 'violation': 1, 'of': 1, 'above': 1, 'terms': 1}"
169,Legally Risky,The authority may revoke approval without furnishing a reason.,"{'the': 1, 'authority': 1, 'may': 1, 'revoke': 1, 'approval': 1, 'without': 1, 'furnishing': 1, 'a': 1, 'reason': 1}"
170,Legally Risky,Any act contrary to these rules shall invite penal action.,"{'any': 1, 'act': 1, 'contrary': 1, 'to': 1, 'these': 1, 'rules': 1, 'shall': 1, 'invite': 1, 'penal': 1, 'action': 1}"
171,Legally Risky,The declarant agrees not to hold the institution responsible under any circumstances.,"{'the': 2, 'declarant': 1, 'agrees': 1, 'not': 1, 'to': 1, 'hold': 1, 'institution': 1, 'responsible': 1, 'under': 1, 'any': 1, 'circumstances': 1}"
172,Legally Risky,The organization reserves the right to recover damages from the applicant.,"{'the': 3, 'organization': 1, 'reserves': 1, 'right': 1, 'to': 1, 'recover': 1, 'damages': 1, 'from': 1, 'applicant': 1}"
173,Legally Risky,Non-compliance may lead to suspension or termination of benefits.,"{'non': 1, 'compliance': 1, 'may': 1, 'lead': 1, 'to': 1, 'suspension': 1, 'or': 1, 'termination': 1, 'of': 1, 'benefits': 1}"
174,Legally Risky,The management shall have absolute authority in interpreting these conditions.,"{'the': 1, 'management': 1, 'shall': 1, 'have': 1, 'absolute': 1, 'authority': 1, 'in': 1, 'interpreting': 1, 'these': 1, 'conditions': 1}"
175,Legally Risky,Submission of this form implies unconditional acceptance of all rules.,"{'submission': 1, 'of': 2, 'this': 1, 'form': 1, 'implies': 1, 'unconditional': 1, 'acceptance': 1, 'all': 1, 'rules': 1}"
176,Legally Risky,The applicant shall be solely liable for any legal consequences.,"{'the': 1, 'applicant': 1, 'shall': 1, 'be': 1, 'solely': 1, 'liable': 1, 'for': 1, 'any': 1, 'legal': 1, 'consequences': 1}"
177,Legally Risky,Any delay or default will attract penalties as prescribed by the authority.,"{'any': 1, 'delay': 1, 'or': 1, 'default': 1, 'will': 1, 'attract': 1, 'penalties': 1, 'as': 1, 'prescribed': 1, 'by': 1, 'the': 1, 'authority': 1}"
178,Legally Risky,The company may take appropriate action without providing justification.,"{'the': 1, 'company': 1, 'may': 1, 'take': 1, 'appropriate': 1, 'action': 1, 'without': 1, 'providing': 1, 'justification': 1}"
179,Legally Risky,The institution holds the right to amend or revoke the policy at its discretion.,"{'the': 3, 'institution': 1, 'holds': 1, 'right': 1, 'to': 1, 'amend': 1, 'or': 1, 'revoke': 1, 'policy': 1, 'at': 1, 'its': 1, 'discretion': 1}"
180,Legally Risky,Any violation shall be punishable as per applicable rules.,"{'any': 1, 'violation': 1, 'shall': 1, 'be': 1, 'punishable': 1, 'as': 1, 'per': 1, 'applicable': 1, 'rules': 1}"
181,Legally Risky,The authority shall not be answerable for any claims arising thereafter.,"{'the': 1, 'authority': 1, 'shall': 1, 'not': 1, 'be': 1, 'answerable': 1, 'for': 1, 'any': 1, 'claims': 1, 'arising': 1, 'thereafter': 1}"
182,Legally Risky,The declarant undertakes full liability for compliance with all directives.,"{'the': 1, 'declarant': 1, 'undertakes': 1, 'full': 1, 'liability': 1, 'for': 1, 'compliance': 1, 'with': 1, 'all': 1, 'directives': 1}"
183,Legally Risky,The Seller warrants and guarantees the Product shall be free from defects for life.,"{'the': 2, 'seller': 1, 'warrants': 1, 'and': 1, 'guarantees': 1, 'product': 1, 'shall': 1, 'be': 1, 'free': 1, 'from': 1, 'defects': 1, 'for': 1, 'life': 1}"
184,Legally Risky,The Supplier shall indemnify and hold harmless the Buyer from any and all claims.,"{'the': 2, 'supplier': 1, 'shall': 1, 'indemnify': 1, 'and': 2, 'hold': 1, 'harmless': 1, 'buyer': 1, 'from': 1, 'any': 1, 'all': 1, 'claims': 1}"
185,Legally Risky,The Tenant is fully and exclusively liable for all damages sustained on the premises.,"{'the': 2, 'tenant': 1, 'is': 1, 'fully': 1, 'and': 1, 'exclusively': 1, 'liable': 1, 'for': 1, 'all': 1, 'damages': 1, 'sustained': 1, 'on': 1, 'premises': 1}"
186,Legally Risky,"The Corporation unconditionally commits to repaying the entire debt by Friday, 5 PM.","{'the': 2, 'corporation': 1, 'unconditionally': 1, 'commits': 1, 'to': 1, 'repaying': 1, 'entire': 1, 'debt': 1, 'by': 1, 'friday': 1, 'pm': 1}"
187,Legally Risky,This Agreement constitutes the entire understanding and supersedes all prior representations.,"{'this': 1, 'agreement': 1, 'constitutes': 1, 'the': 1, 'entire': 1, 'understanding': 1, 'and': 1, 'supersedes': 1, 'all': 1, 'prior': 1, 'representations': 1}"
188,Legally Risky,"The Developer guarantees a minimum uptime of 99.999%, enforceable through liquidated damages.","{'the': 1, 'developer': 1, 'guarantees': 1, 'a': 1, 'minimum': 1, 'uptime': 1, 'of': 1, 'enforceable': 1, 'through': 1, 'liquidated': 1, 'damages': 1}"
189,Legally Risky,Failure to deliver the goods shall result in automatic termination of the contract.,"{'failure': 1, 'to': 1, 'deliver': 1, 'the': 2, 'goods': 1, 'shall': 1, 'result': 1, 'in': 1, 'automatic': 1, 'termination': 1, 'of': 1, 'contract': 1}"
190,Legally Risky,The Buyer expressly waives all rights to pursue litigation in any court other than Delaware.,"{'the': 1, 'buyer': 1, 'expressly': 1, 'waives': 1, 'all': 1, 'rights': 1, 'to': 1, 'pursue': 1, 'litigation': 1, 'in': 1, 'any': 1, 'court': 1, 'other': 1, 'than': 1, 'delaware': 1}"
191,Legally Risky,The authority reserves the right to reject any application without assigning reasons.,"{'the': 2, 'authority': 1, 'reserves': 1, 'right': 1, 'to': 1, 'reject': 1, 'any': 1, 'application': 1, 'without': 1, 'assigning': 1, 'reasons': 1}"
192,Legally Risky,Submission of incorrect information will lead to legal proceedings.,"{'submission': 1, 'of': 1, 'incorrect': 1, 'information': 1, 'will': 1, 'lead': 1, 'to': 1, 'legal': 1, 'proceedings': 1}"
193,Legally Risky,"I attest, without reservation, that the events described occurred exactly as specified in this document.","{'i': 1, 'attest': 1, 'without': 1, 'reservation': 1, 'that': 1, 'the': 1, 'events': 1, 'described': 1, 'occurred': 1, 'exactly': 1, 'as': 1, 'specified': 1, 'in': 1, 'this': 1, 'document': 1}"
194,Legally Risky,We certify that all materials used in construction are fully compliant with applicable standards.,"{'we': 1, 'certify': 1, 'that': 1, 'all': 1, 'materials': 1, 'used': 1, 'in': 1, 'construction': 1, 'are': 1, 'fully': 1, 'compliant': 1, 'with': 1, 'applicable': 1, 'standards': 1}"
195,Legally Risky,"I declare, under penalty of perjury, that I have no financial interest in the outcome of this case.","{'i': 2, 'declare': 1, 'under': 1, 'penalty': 1, 'of': 2, 'perjury': 1, 'that': 1, 'have': 1, 'no': 1, 'financial': 1, 'interest': 1, 'in': 1, 'the': 1, 'outcome': 1, 'this': 1, 'case': 1}"
196,Legally Risky,This email confirms that the company was aware of the safety defect prior to the shipment date.,"{'this': 1, 'email': 1, 'confirms': 1, 'that': 1, 'the': 3, 'company': 1, 'was': 1, 'aware': 1, 'of': 1, 'safety': 1, 'defect': 1, 'prior': 1, 'to': 1, 'shipment': 1, 'date': 1}"
197,Legally Risky,The attached financial statement is true and accurate as of the closing date.,"{'the': 2, 'attached': 1, 'financial': 1, 'statement': 1, 'is': 1, 'true': 1, 'and': 1, 'accurate': 1, 'as': 1, 'of': 1, 'closing': 1, 'date': 1}"
198,Legally Risky,The Administrator hereby accepts full responsibility for the resulting data loss.,"{'the': 2, 'administrator': 1, 'hereby': 1, 'accepts': 1, 'full': 1, 'responsibility': 1, 'for': 1, 'resulting': 1, 'data': 1, 'loss': 1}"
199,Legally Risky,It is acknowledged that the proprietary data was stored on an unsecured server.,"{'it': 1, 'is': 1, 'acknowledged': 1, 'that': 1, 'the': 1, 'proprietary': 1, 'data': 1, 'was': 1, 'stored': 1, 'on': 1, 'an': 1, 'unsecured': 1, 'server': 1}"
200,Legally Risky,The declarant agrees to bear all consequences arising out of this declaration.,"{'the': 1, 'declarant': 1, 'agrees': 1, 'to': 1, 'bear': 1, 'all': 1, 'consequences': 1, 'arising': 1, 'out': 1, 'of': 1, 'this': 1, 'declaration': 1}"
201,Legally Risky,Any false declaration shall invite penal consequences.,"{'any': 1, 'false': 1, 'declaration': 1, 'shall': 1, 'invite': 1, 'penal': 1, 'consequences': 1}"
202,Legally Risky,The applicant waives all rights to raise objections at a later stage.,"{'the': 1, 'applicant': 1, 'waives': 1, 'all': 1, 'rights': 1, 'to': 1, 'raise': 1, 'objections': 1, 'at': 1, 'a': 1, 'later': 1, 'stage': 1}"
203,Legally Risky,All employees must immediately disclose any and all contact with competitors.,"{'all': 2, 'employees': 1, 'must': 1, 'immediately': 1, 'disclose': 1, 'any': 1, 'and': 1, 'contact': 1, 'with': 1, 'competitors': 1}"
204,Legally Risky,The system shall retain records for a minimum period of ten years.,"{'the': 1, 'system': 1, 'shall': 1, 'retain': 1, 'records': 1, 'for': 1, 'a': 1, 'minimum': 1, 'period': 1, 'of': 1, 'ten': 1, 'years': 1}"
205,Legally Risky,The company is required to notify affected users within twenty-four hours of discovering a breach.,"{'the': 1, 'company': 1, 'is': 1, 'required': 1, 'to': 1, 'notify': 1, 'affected': 1, 'users': 1, 'within': 1, 'twenty': 1, 'four': 1, 'hours': 1, 'of': 1, 'discovering': 1, 'a': 1, 'breach': 1}"
206,Legally Risky,Any non-compliance will result in a mandatory monetary penalty.,"{'any': 1, 'non': 1, 'compliance': 1, 'will': 1, 'result': 1, 'in': 1, 'a': 1, 'mandatory': 1, 'monetary': 1, 'penalty': 1}"
207,Legally Risky,"The Board of Directors shall, without exception, hold its annual meeting in February.","{'the': 1, 'board': 1, 'of': 1, 'directors': 1, 'shall': 1, 'without': 1, 'exception': 1, 'hold': 1, 'its': 1, 'annual': 1, 'meeting': 1, 'in': 1, 'february': 1}"
208,Legally Risky,The User is solely responsible for backing up all data and credentials.,"{'the': 1, 'user': 1, 'is': 1, 'solely': 1, 'responsible': 1, 'for': 1, 'backing': 1, 'up': 1, 'all': 1, 'data': 1, 'and': 1, 'credentials': 1}"
209,Legally Risky,The Licensee must cease all use of the intellectual property immediately.,"{'the': 2, 'licensee': 1, 'must': 1, 'cease': 1, 'all': 1, 'use': 1, 'of': 1, 'intellectual': 1, 'property': 1, 'immediately': 1}"
210,Legally Risky,Any breach shall constitute sufficient grounds for termination.,"{'any': 1, 'breach': 1, 'shall': 1, 'constitute': 1, 'sufficient': 1, 'grounds': 1, 'for': 1, 'termination': 1}"
211,Legally Risky,The authority may initiate proceedings without issuing further notice.,"{'the': 1, 'authority': 1, 'may': 1, 'initiate': 1, 'proceedings': 1, 'without': 1, 'issuing': 1, 'further': 1, 'notice': 1}"
212,Legally Risky,Participation is subject to compliance with all directives issued.,"{'participation': 1, 'is': 1, 'subject': 1, 'to': 1, 'compliance': 1, 'with': 1, 'all': 1, 'directives': 1, 'issued': 1}"
213,Legally Risky,This medical device cures all symptoms associated with the condition with complete effectiveness.,"{'this': 1, 'medical': 1, 'device': 1, 'cures': 1, 'all': 1, 'symptoms': 1, 'associated': 1, 'with': 2, 'the': 1, 'condition': 1, 'complete': 1, 'effectiveness': 1}"
214,Legally Risky,Our compliance framework guarantees perfect adherence to all regulatory requirements.,"{'our': 1, 'compliance': 1, 'framework': 1, 'guarantees': 1, 'perfect': 1, 'adherence': 1, 'to': 1, 'all': 1, 'regulatory': 1, 'requirements': 1}"
215,Legally Risky,The property has never experienced any structural or water damage.,"{'the': 1, 'property': 1, 'has': 1, 'never': 1, 'experienced': 1, 'any': 1, 'structural': 1, 'or': 1, 'water': 1, 'damage': 1}"
216,Legally Risky,All transmissions are secured using impenetrable encryption technology.,"{'all': 1, 'transmissions': 1, 'are': 1, 'secured': 1, 'using': 1, 'impenetrable': 1, 'encryption': 1, 'technology': 1}"
217,Legally Risky,The final product will be delivered by the specified date or the contract shall stand void.,"{'the': 3, 'final': 1, 'product': 1, 'will': 1, 'be': 1, 'delivered': 1, 'by': 1, 'specified': 1, 'date': 1, 'or': 1, 'contract': 1, 'shall': 1, 'stand': 1, 'void': 1}"
218,Legally Risky,The service is guaranteed to never experience an outage exceeding five minutes.,"{'the': 1, 'service': 1, 'is': 1, 'guaranteed': 1, 'to': 1, 'never': 1, 'experience': 1, 'an': 1, 'outage': 1, 'exceeding': 1, 'five': 1, 'minutes': 1}"
219,Legally Risky,The client represents that it has full authority to bind the parent corporation.,"{'the': 2, 'client': 1, 'represents': 1, 'that': 1, 'it': 1, 'has': 1, 'full': 1, 'authority': 1, 'to': 1, 'bind': 1, 'parent': 1, 'corporation': 1}"
220,Legally Risky,The authority holds absolute discretion in interpreting these provisions.,"{'the': 1, 'authority': 1, 'holds': 1, 'absolute': 1, 'discretion': 1, 'in': 1, 'interpreting': 1, 'these': 1, 'provisions': 1}"
221,Legally Risky,The applicant shall have no claim whatsoever against the organization.,"{'the': 2, 'applicant': 1, 'shall': 1, 'have': 1, 'no': 1, 'claim': 1, 'whatsoever': 1, 'against': 1, 'organization': 1}"
222,Legally Risky,The services may be discontinued without notice.,"{'the': 1, 'services': 1, 'may': 1, 'be': 1, 'discontinued': 1, 'without': 1, 'notice': 1}"
223,Legally Risky,Any misrepresentation shall render the candidate liable for cancellation of candidature.,"{'any': 1, 'misrepresentation': 1, 'shall': 1, 'render': 1, 'the': 1, 'candidate': 1, 'liable': 1, 'for': 1, 'cancellation': 1, 'of': 1, 'candidature': 1}"
224,Legally Risky,The authority may suspend or cancel permission at any time.,"{'the': 1, 'authority': 1, 'may': 1, 'suspend': 1, 'or': 1, 'cancel': 1, 'permission': 1, 'at': 1, 'any': 1, 'time': 1}"
225,Legally Risky,The institution shall not entertain disputes of any nature in this regard.,"{'the': 1, 'institution': 1, 'shall': 1, 'not': 1, 'entertain': 1, 'disputes': 1, 'of': 1, 'any': 1, 'nature': 1, 'in': 1, 'this': 1, 'regard': 1}"
226,Legally Risky,The applicant agrees that no appeal shall lie against the decision.,"{'the': 2, 'applicant': 1, 'agrees': 1, 'that': 1, 'no': 1, 'appeal': 1, 'shall': 1, 'lie': 1, 'against': 1, 'decision': 1}"
227,Legally Risky,The management shall not be accountable for losses incurred.,"{'the': 1, 'management': 1, 'shall': 1, 'not': 1, 'be': 1, 'accountable': 1, 'for': 1, 'losses': 1, 'incurred': 1}"
228,Legally Risky,Violation of any term shall render the agreement void.,"{'violation': 1, 'of': 1, 'any': 1, 'term': 1, 'shall': 1, 'render': 1, 'the': 1, 'agreement': 1, 'void': 1}"
229,Legally Risky,The applicant agrees to submit to jurisdiction decided solely by the authority.,"{'the': 2, 'applicant': 1, 'agrees': 1, 'to': 2, 'submit': 1, 'jurisdiction': 1, 'decided': 1, 'solely': 1, 'by': 1, 'authority': 1}"
230,Legally Risky,The organization may take any action it deems fit.,"{'the': 1, 'organization': 1, 'may': 1, 'take': 1, 'any': 1, 'action': 1, 'it': 1, 'deems': 1, 'fit': 1}"
231,Legally Risky,Failure to comply shall invite severe action.,"{'failure': 1, 'to': 1, 'comply': 1, 'shall': 1, 'invite': 1, 'severe': 1, 'action': 1}"
232,Legally Risky,Acceptance of these terms is mandatory and unconditional.,"{'acceptance': 1, 'of': 1, 'these': 1, 'terms': 1, 'is': 1, 'mandatory': 1, 'and': 1, 'unconditional': 1}"
233,Legally Risky,The company assumes no responsibility for errors or omissions.,"{'the': 1, 'company': 1, 'assumes': 1, 'no': 1, 'responsibility': 1, 'for': 1, 'errors': 1, 'or': 1, 'omissions': 1}"
234,Legally Risky,The authority may revoke approval at any time.,"{'the': 1, 'authority': 1, 'may': 1, 'revoke': 1, 'approval': 1, 'at': 1, 'any': 1, 'time': 1}"
235,Legally Risky,Any default shall result in withdrawal of facilities.,"{'any': 1, 'default': 1, 'shall': 1, 'result': 1, 'in': 1, 'withdrawal': 1, 'of': 1, 'facilities': 1}"
236,Legally Risky,The declarant agrees the authority’s decision is irrevocable.,"{'the': 2, 'declarant': 1, 'agrees': 1, 'authority': 1, 'decision': 1, 'is': 1, 'irrevocable': 1}"
237,Legally Risky,The institution shall not be liable for damages or claims of any kind.,"{'the': 1, 'institution': 1, 'shall': 1, 'not': 1, 'be': 1, 'liable': 1, 'for': 1, 'damages': 1, 'or': 1, 'claims': 1, 'of': 1, 'any': 1, 'kind': 1}"
238,Legally Risky,The applicant undertakes to indemnify the authority against all losses.,"{'the': 2, 'applicant': 1, 'undertakes': 1, 'to': 1, 'indemnify': 1, 'authority': 1, 'against': 1, 'all': 1, 'losses': 1}"
239,Legally Risky,The management may revise or withdraw the offer at its discretion.,"{'the': 2, 'management': 1, 'may': 1, 'revise': 1, 'or': 1, 'withdraw': 1, 'offer': 1, 'at': 1, 'its': 1, 'discretion': 1}"
240,Legally Risky,The authority’s determination shall be conclusive in all matters.,"{'the': 1, 'authority': 1, 'determination': 1, 'shall': 1, 'be': 1, 'conclusive': 1, 'in': 1, 'all': 1, 'matters': 1}"
241,Legally Risky,The applicant shall be barred from future participation upon violation.,"{'the': 1, 'applicant': 1, 'shall': 1, 'be': 1, 'barred': 1, 'from': 1, 'future': 1, 'participation': 1, 'upon': 1, 'violation': 1}"
242,Legally Risky,The organization shall not be responsible for any consequences arising thereafter.,"{'the': 1, 'organization': 1, 'shall': 1, 'not': 1, 'be': 1, 'responsible': 1, 'for': 1, 'any': 1, 'consequences': 1, 'arising': 1, 'thereafter': 1}"
243,Under Specified,Access to the facility may be granted upon approval.,"{'access': 1, 'to': 1, 'the': 1, 'facility': 1, 'may': 1, 'be': 1, 'granted': 1, 'upon': 1, 'approval': 1}"
244,Under Specified,Requests will be processed according to internal guidelines.,"{'requests': 1, 'will': 1, 'be': 1, 'processed': 1, 'according': 1, 'to': 1, 'internal': 1, 'guidelines': 1}"
245,Under Specified,Fees may be revised from time to time.,"{'fees': 1, 'may': 1, 'be': 1, 'revised': 1, 'from': 1, 'time': 2, 'to': 1}"
246,Under Specified,Support will be provided as required.,"{'support': 1, 'will': 1, 'be': 1, 'provided': 1, 'as': 1, 'required': 1}"
247,Under Specified,The service is subject to availability.,"{'the': 1, 'service': 1, 'is': 1, 'subject': 1, 'to': 1, 'availability': 1}"
248,Under Specified,Permissions are granted on a case-by-case basis.,"{'permissions': 1, 'are': 1, 'granted': 1, 'on': 1, 'a': 1, 'case': 2, 'by': 1, 'basis': 1}"
249,Under Specified,Records shall be maintained as per policy.,"{'records': 1, 'shall': 1, 'be': 1, 'maintained': 1, 'as': 1, 'per': 1, 'policy': 1}"
250,Under Specified,Refunds will be issued where applicable.,"{'refunds': 1, 'will': 1, 'be': 1, 'issued': 1, 'where': 1, 'applicable': 1}"
251,Under Specified,The application will be reviewed by the relevant department.,"{'the': 2, 'application': 1, 'will': 1, 'be': 1, 'reviewed': 1, 'by': 1, 'relevant': 1, 'department': 1}"
252,Under Specified,Changes may be implemented as necessary.,"{'changes': 1, 'may': 1, 'be': 1, 'implemented': 1, 'as': 1, 'necessary': 1}"
253,Under Specified,The authority shall take appropriate action in such cases.,"{'the': 1, 'authority': 1, 'shall': 1, 'take': 1, 'appropriate': 1, 'action': 1, 'in': 1, 'such': 1, 'cases': 1}"
254,Under Specified,Access may be restricted under certain circumstances.,"{'access': 1, 'may': 1, 'be': 1, 'restricted': 1, 'under': 1, 'certain': 1, 'circumstances': 1}"
255,Under Specified,The timeline will be communicated separately.,"{'the': 1, 'timeline': 1, 'will': 1, 'be': 1, 'communicated': 1, 'separately': 1}"
256,Under Specified,The process shall be conducted in the prescribed manner.,"{'the': 2, 'process': 1, 'shall': 1, 'be': 1, 'conducted': 1, 'in': 1, 'prescribed': 1, 'manner': 1}"
257,Under Specified,Benefits are applicable subject to eligibility.,"{'benefits': 1, 'are': 1, 'applicable': 1, 'subject': 1, 'to': 1, 'eligibility': 1}"
258,Under Specified,Documentation must be submitted in the required format.,"{'documentation': 1, 'must': 1, 'be': 1, 'submitted': 1, 'in': 1, 'the': 1, 'required': 1, 'format': 1}"
259,Under Specified,The request will be addressed at the earliest.,"{'the': 2, 'request': 1, 'will': 1, 'be': 1, 'addressed': 1, 'at': 1, 'earliest': 1}"
260,Under Specified,Compliance will be monitored periodically.,"{'compliance': 1, 'will': 1, 'be': 1, 'monitored': 1, 'periodically': 1}"
261,Under Specified,The service may be discontinued if required.,"{'the': 1, 'service': 1, 'may': 1, 'be': 1, 'discontinued': 1, 'if': 1, 'required': 1}"
262,Under Specified,Further instructions shall be issued in due course.,"{'further': 1, 'instructions': 1, 'shall': 1, 'be': 1, 'issued': 1, 'in': 1, 'due': 1, 'course': 1}"
263,Under Specified,Participation is subject to satisfaction of conditions.,"{'participation': 1, 'is': 1, 'subject': 1, 'to': 1, 'satisfaction': 1, 'of': 1, 'conditions': 1}"
264,Under Specified,The policy shall be implemented uniformly.,"{'the': 1, 'policy': 1, 'shall': 1, 'be': 1, 'implemented': 1, 'uniformly': 1}"
265,Under Specified,Payment will be collected as applicable.,"{'payment': 1, 'will': 1, 'be': 1, 'collected': 1, 'as': 1, 'applicable': 1}"
266,Under Specified,The application may be forwarded to the appropriate authority.,"{'the': 2, 'application': 1, 'may': 1, 'be': 1, 'forwarded': 1, 'to': 1, 'appropriate': 1, 'authority': 1}"
267,Under Specified,Approval is subject to verification.,"{'approval': 1, 'is': 1, 'subject': 1, 'to': 1, 'verification': 1}"
268,Under Specified,The decision will be communicated accordingly.,"{'the': 1, 'decision': 1, 'will': 1, 'be': 1, 'communicated': 1, 'accordingly': 1}"
269,Under Specified,Facilities may be provided upon request.,"{'facilities': 1, 'may': 1, 'be': 1, 'provided': 1, 'upon': 1, 'request': 1}"
270,Under Specified,Assistance shall be extended as deemed necessary.,"{'assistance': 1, 'shall': 1, 'be': 1, 'extended': 1, 'as': 1, 'deemed': 1, 'necessary': 1}"
271,Under Specified,Requests are handled based on priority.,"{'requests': 1, 'are': 1, 'handled': 1, 'based': 1, 'on': 1, 'priority': 1}"
272,Under Specified,The provisions shall apply wherever relevant.,"{'the': 1, 'provisions': 1, 'shall': 1, 'apply': 1, 'wherever': 1, 'relevant': 1}"
273,Under Specified,The committee shall examine the matter.,"{'the': 2, 'committee': 1, 'shall': 1, 'examine': 1, 'matter': 1}"
